Image, Detector, Descriptor, TTC_Lidar, TTC_Camera
0017, BRISK, ORB, 8.62274, 11.0301
0018, BRISK, ORB, 11.6691, 8.53557

0000, BRISK, FREAK, 
0001, BRISK, FREAK, 11.2939, 12.2891
0002, BRISK, FREAK, 19.6872, 13.3547
0003, BRISK, FREAK, 12.2048, 16.3845
0004, BRISK, FREAK, 14.8405, 14.0764
0005, BRISK, FREAK, 19.9198, 12.7299
0006, BRISK, FREAK, 23.0077, 13.7511
0007, BRISK, FREAK, 12.0534, 13.7314
0008, BRISK, FREAK, 15.3088, 13.7901
0009, BRISK, FREAK, 17.9749, 12.059
0010, BRISK, FREAK, 12.7661, 11.8642
0011, BRISK, FREAK, 12.5041, 11.9682
0012, BRISK, FREAK, 10.8801, 9.88711
0013, BRISK, FREAK, 11.9619, 9.42504
0014, BRISK, FREAK, 12.2145, 9.30215
0015, BRISK, FREAK, 14.4302, 8.3212
0016, BRISK, FREAK, 9.97331, 8.89867
0017, BRISK, FREAK, 9.35263, 11.0301
0018, BRISK, FREAK, 11.5113, 8.53557

0000, ORB, BRISK, 
0001, ORB, BRISK, 10.676, 12.2891
0002, ORB, BRISK, 13.5068, 13.3547
0003, ORB, BRISK, 11.2793, 16.3845
0004, ORB, BRISK, 16.4892, 14.0764
0005, ORB, BRISK, 41.3827, 12.7299
0006, ORB, BRISK, 10.0536, 13.7511
0007, ORB, BRISK, 27.9717, 13.7314
0008, ORB, BRISK, 10.6652, 13.7901
0009, ORB, BRISK, 12.0094, 12.059
0010, ORB, BRISK, 11.0419, 11.8642
0011, ORB, BRISK, 7.40879, 11.9682
0012, ORB, BRISK, -inf, 9.88711
0013, ORB, BRISK, 13.7328, 9.42504
0014, ORB, BRISK, 11.4171, 9.30215
0015, ORB, BRISK, 24.6352, 8.3212
0016, ORB, BRISK, 17.1962, 8.89867
0017, ORB, BRISK, 20.3351, 11.0301
0018, ORB, BRISK, 55.2418, 8.53557

0000, ORB, BRIEF, 
0001, ORB, BRIEF, 12.2865, 12.2891
0002, ORB, BRIEF, 14.042, 13.3547
0003, ORB, BRIEF, 19.9017, 16.3845
0004, ORB, BRIEF, 15.639, 14.0764
0005, ORB, BRIEF, 22.3972, 12.7299
0006, ORB, BRIEF, 16.1922, 13.7511
0007, ORB, BRIEF, 19.3349, 13.7314
0008, ORB, BRIEF, 128.473, 13.7901
0009, ORB, BRIEF, 39.376, 12.059
0010, ORB, BRIEF, 11.0882, 11.8642
0011, ORB, BRIEF, 10.0798, 11.9682
0012, ORB, BRIEF, 20.1675, 9.88711
0013, ORB, BRIEF, 12.8245, 9.42504
0014, ORB, BRIEF, 8.59638, 9.30215
0015, ORB, BRIEF, 18.5571, 8.3212
0016, ORB, BRIEF, 10.9511, 8.89867
0017, ORB, BRIEF, 8.7295, 11.0301
0018, ORB, BRIEF, 19.7783, 8.53557

0000, ORB, ORB, 
0001, ORB, ORB, 19.0873, 12.2891
0002, ORB, ORB, -inf, 13.3547
0003, ORB, ORB, 21.8644, 16.3845
0004, ORB, ORB, 25.1199, 14.0764
0005, ORB, ORB, 22.1464, 12.7299
0006, ORB, ORB, -inf, 13.7511
0007, ORB, ORB, -inf, 13.7314
0008, ORB, ORB, 10.9391, 13.7901
0009, ORB, ORB, -inf, 12.059
0010, ORB, ORB, 10.4209, 11.8642
0011, ORB, ORB, 9.12813, 11.9682
0012, ORB, ORB, -inf, 9.88711
0013, ORB, ORB, 12.8562, 9.42504
0014, ORB, ORB, 13.6273, 9.30215
0015, ORB, ORB, -inf, 8.3212
0016, ORB, ORB, 10.2191, 8.89867
0017, ORB, ORB, 14.4347, 11.0301
0018, ORB, ORB, 34.4586, 8.53557

0000, ORB, FREAK, 
0001, ORB, FREAK, 12.2074, 12.2891
0002, ORB, FREAK, 11.1048, 13.3547
0003, ORB, FREAK, 11.3288, 16.3845
0004, ORB, FREAK, 12.5761, 14.0764
0005, ORB, FREAK, 743.244, 12.7299
0006, ORB, FREAK, 65.7468, 13.7511
0007, ORB, FREAK, -inf, 13.7314
0008, ORB, FREAK, 12.6809, 13.7901
0009, ORB, FREAK, 30.3425, 12.059
0010, ORB, FREAK, 24.4419, 11.8642
0011, ORB, FREAK, 8.12118, 11.9682
0012, ORB, FREAK, 8.31342, 9.88711
0013, ORB, FREAK, 8.36293, 9.42504
0014, ORB, FREAK, 9.3101, 9.30215
0015, ORB, FREAK, 8.12918, 8.3212
0016, ORB, FREAK, 7.76548, 8.89867
0017, ORB, FREAK, 11.3219, 11.0301
0018, ORB, FREAK, 24.1855, 8.53557

0000, AKAZE, BRISK, 
0001, AKAZE, BRISK, 11.8455, 12.2891
0002, AKAZE, BRISK, 13.1113, 13.3547
0003, AKAZE, BRISK, 13.0918, 16.3845
0004, AKAZE, BRISK, 13.3027, 14.0764
0005, AKAZE, BRISK, 13.1974, 12.7299
0006, AKAZE, BRISK, 12.7031, 13.7511
0007, AKAZE, BRISK, 15.6492, 13.7314
0008, AKAZE, BRISK, 13.6023, 13.7901
0009, AKAZE, BRISK, 14.1673, 12.059
0010, AKAZE, BRISK, 12.435, 11.8642
0011, AKAZE, BRISK, 12.0939, 11.9682
0012, AKAZE, BRISK, 10.3743, 9.88711
0013, AKAZE, BRISK, 10.3765, 9.42504
0014, AKAZE, BRISK, 9.70457, 9.30215
0015, AKAZE, BRISK, 9.48155, 8.3212
0016, AKAZE, BRISK, 10.0683, 8.89867
0017, AKAZE, BRISK, 8.6964, 11.0301
0018, AKAZE, BRISK, 8.67077, 8.53557

0000, AKAZE, BRIEF, 
0001, AKAZE, BRIEF, 12.101, 12.2891
0002, AKAZE, BRIEF, 13.519, 13.3547
0003, AKAZE, BRIEF, 12.0061, 16.3845
0004, AKAZE, BRIEF, 13.3839, 14.0764
0005, AKAZE, BRIEF, 14.0406, 12.7299
0006, AKAZE, BRIEF, 12.4618, 13.7511
0007, AKAZE, BRIEF, 15.4674, 13.7314
0008, AKAZE, BRIEF, 14.6608, 13.7901
0009, AKAZE, BRIEF, 12.5431, 12.059
0010, AKAZE, BRIEF, 11.9796, 11.8642
0011, AKAZE, BRIEF, 12.9387, 11.9682
0012, AKAZE, BRIEF, 11.1953, 9.88711
0013, AKAZE, BRIEF, 10.9345, 9.42504
0014, AKAZE, BRIEF, 10.8077, 9.30215
0015, AKAZE, BRIEF, 9.53519, 8.3212
0016, AKAZE, BRIEF, 9.53052, 8.89867
0017, AKAZE, BRIEF, 8.80347, 11.0301
0018, AKAZE, BRIEF, 8.49658, 8.53557

0000, AKAZE, ORB, 
0001, AKAZE, ORB, 11.6103, 12.2891
0002, AKAZE, ORB, 13.5195, 13.3547
0003, AKAZE, ORB, 12.745, 16.3845
0004, AKAZE, ORB, 14.3365, 14.0764
0005, AKAZE, ORB, 13.631, 12.7299
0006, AKAZE, ORB, 13.6516, 13.7511
0007, AKAZE, ORB, 15.3961, 13.7314
0008, AKAZE, ORB, 13.8281, 13.7901
0009, AKAZE, ORB, 12.7144, 12.059
0010, AKAZE, ORB, 11.7826, 11.8642
0011, AKAZE, ORB, 12.3501, 11.9682
0012, AKAZE, ORB, 10.6091, 9.88711
0013, AKAZE, ORB, 10.9959, 9.42504
0014, AKAZE, ORB, 9.77147, 9.30215
0015, AKAZE, ORB, 10.1378, 8.3212
0016, AKAZE, ORB, 9.78989, 8.89867
0017, AKAZE, ORB, 9.21472, 11.0301
0018, AKAZE, ORB, 9.07435, 8.53557

0000, AKAZE, FREAK, 
0001, AKAZE, FREAK, 11.5026, 12.2891
0002, AKAZE, FREAK, 12.7075, 13.3547
0003, AKAZE, FREAK, 12.827, 16.3845
0004, AKAZE, FREAK, 13.9332, 14.0764
0005, AKAZE, FREAK, 14.0043, 12.7299
0006, AKAZE, FREAK, 14.0246, 13.7511
0007, AKAZE, FREAK, 15.3221, 13.7314
0008, AKAZE, FREAK, 13.1172, 13.7901
0009, AKAZE, FREAK, 11.5627, 12.059
0010, AKAZE, FREAK, 11.7715, 11.8642
0011, AKAZE, FREAK, 11.516, 11.9682
0012, AKAZE, FREAK, 10.5463, 9.88711
0013, AKAZE, FREAK, 10.1861, 9.42504
0014, AKAZE, FREAK, 10.0378, 9.30215
0015, AKAZE, FREAK, 9.38573, 8.3212
0016, AKAZE, FREAK, 9.97648, 8.89867
0017, AKAZE, FREAK, 8.46005, 11.0301
0018, AKAZE, FREAK, 8.73027, 8.53557

